UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
AC, Acre,198815,0.964,7376,0.036,206191,-8.77,-70.55
AL, Alagoas,832057,0.944,49504,0.056,881561,-9.62,-36.82
AP, Amapá,205837,0.988,2525,0.012,208362,1.41,-51.77
AM, Amazonas,987067,0.976,24143,0.024,1011210,-3.47,-65.1
BA, Bahia,3696546,0.972,108127,0.028,3804673,-13.29,-41.71
CE, Ceará,2218345,0.965,80996,0.035,2299341,-5.2,-39.53
DF, Distrito Federal,713285,1.0,0,0.0,713285,-15.83,-47.86
ES, Espírito Santo,967935,0.994,6316,0.006,974251,-19.19,-40.34
GO, Goiás,1587022,0.992,13420,0.008,1600442,-15.98,-49.86
MA, Maranhão,1739357,0.955,82343,0.045,1821700,-5.42,-45.44
MT, Mato Grosso,827606,0.987,10518,0.013,838124,-12.64,-55.42
MS, Mato Grosso do Sul,633121,0.992,5126,0.008,638247,-20.51,-54.54
MG, Minas Gerais,4938055,0.983,83336,0.017,5021391,-18.1,-44.38
PA, Pará,2141821,0.969,67542,0.031,2209363,-3.79,-52.48
PB, Paraiba,975510,0.961,39396,0.039,1014906,-7.28,-36.72
PR, Paraná,2697425,0.99,27309,0.01,2724734,-24.89,-51.55
PE, Pernambuco,2254942,0.953,110851,0.047,2365793,-8.38,-37.86
PI, Piauí,767374,0.955,36006,0.045,803380,-6.6,-42.28
RJ, Rio de Janeiro,3669401,0.993,27247,0.007,3696648,-22.25,-42.66
RN, Rio Grande do Norte,831377,0.956,37814,0.044,869191,-5.81,-36.59
RS, Rio Grande do Sul,2543962,0.99,26266,0.01,2570228,-30.17,-53.5
RO, Rondônia,450107,0.983,7933,0.017,458040,-10.83,-63.34
RR, Roraima,134981,1.0,0,0.0,134981,1.99,-61.33
SC, Santa Catarina,1656734,0.993,11972,0.007,1668706,-27.45,-50.95
SP, São Paulo,10427247,0.993,73128,0.007,10500375,-22.19,-48.79
SE, Sergipe,562568,0.954,27378,0.046,589946,-10.57,-37.45
TO, Tocantins,374641,0.98,7840,0.02,382481,-9.46,-48.26
