UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
RO,Rondônia,417811,0.992,3197,0.008,421008,-10.83,-63.34
AC,Acre,225864,0.982,4146,0.018,230010,-8.77,-70.55
AM,Amazonas,1053092,0.989,11856,0.011,1064948,-3.47,-65.1
RR,Roraima,149363,0.148,861,0.852,1010426,1.99,-61.33
PA,Pará,2087601,0.983,36122,0.017,2123723,-3.79,-52.48
AP,Amapá,234617,0.993,1645,0.007,236262,1.41,-51.77
TO,Tocantins,356906,0.99,3459,0.01,360365,-9.46,-48.26
MA,Maranhão,1711701,0.982,31414,0.018,1743115,-5.42,-45.44
PI,Piauí,733583,0.985,11486,0.015,745069,-6.6,-42.28
CE,Ceará,2120831,0.986,29668,0.014,2150499,-5.2,-39.53
RN,Rio Grande do Norte,773406,0.985,11458,0.015,784864,-5.81,-36.59
PB,Paraiba,892907,0.983,15014,0.017,907921,-7.28,-36.72
PE,Pernambuco,2139650,0.983,37715,0.017,2177365,-8.38,-37.86
AL,Alagoas,748194,0.974,20176,0.026,768370,-9.62,-36.82
SE,Sergipe,540607,0.986,7902,0.014,548509,-10.57,-37.45
BA,Bahia,3282284,0.981,64555,0.019,3346839,-13.29,-41.71
MG,Minas Gerais,4472869,0.992,36068,0.008,4508937,-18.1,-44.38
ES,Espírito Santo,840395,0.995,4144,0.005,844539,-19.19,-40.34
RJ,Rio de Janeiro,3474149,0.996,14345,0.004,3488494,-22.25,-42.66
SP,São Paulo,9703467,0.995,48978,0.005,9752445,-22.19,-48.79
PR,Paraná,2402966,0.993,16905,0.007,2419871,-24.89,-51.55
SC,Santa Catarina,1474879,0.995,7539,0.005,1482418,-27.45,-50.95
RS,Rio Grande do Sul,2342013,0.995,10850,0.005,2352863,-30.17,-53.5
MS,Mato Grosso do Sul,585968,0.992,4829,0.008,590797,-20.51,-54.54
MT,Mato Grosso,744333,0.993,5508,0.007,749841,-12.64,-55.42
GO,Goiás,1524388,0.996,6485,0.004,1530873,-15.98,-49.86
DF,Distrito Federal,715302,0.995,3797,0.005,719099,-15.83,-47.86
