UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
RO,Rondônia,436626,0.996,1891.0,0.004,438517,-10.83,-63.34
AC,Acre,225098,0.981,4275.0,0.019,229373,-8.77,-70.55
AM,Amazonas,995348,0.985,15051.0,0.015,1010399,-3.47,-65.1
RR,Roraima,140009,0.242,438.0,0.758,578132,1.99,-61.33
PA,Pará,2167560,0.985,32399.0,0.015,2199959,-3.79,-52.48
AP,Amapá,242286,0.999,174.0,0.001,242460,1.41,-51.77
TO,Tocantins,360838,0.991,3302.0,0.009,364140,-9.46,-48.26
MA,Maranhão,1685474,0.978,38614.0,0.022,1724088,-5.42,-45.44
PI,Piauí,734914,0.988,9194.0,0.012,744108,-6.6,-42.28
CE,Ceará,2181947,0.987,29277.0,0.013,2211224,-5.2,-39.53
RN,Rio Grande do Norte,816567,0.984,13601.0,0.016,830168,-5.81,-36.59
PB,Paraiba,906144,0.983,15874.0,0.017,922018,-7.28,-36.72
PE,Pernambuco,2141239,0.979,45276.0,0.021,2186515,-8.38,-37.86
AL,Alagoas,762985,0.97,23292.0,0.03,786277,-9.62,-36.82
SE,Sergipe,543983,0.979,11840.0,0.021,555823,-10.57,-37.45
BA,Bahia,3334012,0.982,61989.0,0.018,3396001,-13.29,-41.71
MG,Minas Gerais,4828392,0.992,37312.0,0.008,4865704,-18.1,-44.38
ES,Espírito Santo,865857,0.995,4677.0,0.005,870534,-19.19,-40.34
RJ,Rio de Janeiro,3572682,0.995,19293.0,0.005,3591975,-22.25,-42.66
SP,São Paulo,9835294,0.997,31899.0,0.003,9867193,-22.19,-48.79
PR,Paraná,2524954,0.994,15355.0,0.006,2540309,-24.89,-51.55
SC,Santa Catarina,1544187,0.994,9602.0,0.006,1553789,-27.45,-50.95
RS,Rio Grande do Sul,2243250,0.993,15261.0,0.007,2258511,-30.17,-53.5
MS,Mato Grosso do Sul,607476,0.993,4130.0,0.007,611606,-20.51,-54.54
MT,Mato Grosso,767393,0.993,5209.0,0.007,772602,-12.64,-55.42
GO,Goiás,1554790,0.993,10327.0,0.007,1565117,-15.98,-49.86
DF,Distrito Federal,706788,0.996,3992.99,0.004,709501,-15.83,-47.86
