UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
RO,Rondônia,415646,0.992,3205,0.008,418851,-10.83,-63.34
AC,Acre,229866,0.983,4080,0.017,233946,-8.77,-70.55
AM,Amazonas,1022586,0.99,10205,0.01,1032791,-3.47,-65.1
RR,Roraima,132179,0.136,838,0.864,970110,1.99,-61.33
PA,Pará,2176638,0.984,34782,0.016,2211420,-3.79,-52.48
AP,Amapá,238405,0.992,2017,0.008,240422,1.41,-51.77
TO,Tocantins,371162,0.988,4454,0.012,375616,-9.46,-48.26
MA,Maranhão,1729316,0.978,39296,0.022,1768612,-5.42,-45.44
PI,Piauí,738428,0.975,18779,0.025,757207,-6.6,-42.28
CE,Ceará,2207150,0.981,42409,0.019,2249559,-5.2,-39.53
RN,Rio Grande do Norte,819519,0.99,8624,0.01,828143,-5.81,-36.59
PB,Paraiba,914940,0.98,18884,0.02,933824,-7.28,-36.72
PE,Pernambuco,2149585,0.979,47105,0.021,2196690,-8.38,-37.86
AL,Alagoas,768937,0.968,25031,0.032,793968,-9.62,-36.82
SE,Sergipe,537024,0.982,9749,0.018,546773,-10.57,-37.45
BA,Bahia,3393153,0.981,64495,0.019,3457648,-13.29,-41.71
MG,Minas Gerais,4792420,0.992,40197,0.008,4832617,-18.1,-44.38
ES,Espírito Santo,854197,0.994,5011,0.006,859208,-19.19,-40.34
RJ,Rio de Janeiro,3641341,0.995,17831,0.005,3659172,-22.25,-42.66
SP,São Paulo,9755798,0.996,41885,0.004,9797683,-22.19,-48.79
PR,Paraná,2533339,0.994,16285,0.006,2549624,-24.89,-51.55
SC,Santa Catarina,1566396,0.996,6202,0.004,1572598,-27.45,-50.95
RS,Rio Grande do Sul,2380064,0.994,13711,0.006,2393775,-30.17,-53.5
MS,Mato Grosso do Sul,580009,0.994,3354,0.006,583363,-20.51,-54.54
MT,Mato Grosso,771428,0.988,9204,0.012,780632,-12.64,-55.42
GO,Goiás,1577059,0.995,7461,0.005,1584520,-15.98,-49.86
DF,Distrito Federal,706621,0.996,2880,0.004,709501,-15.83,-47.86
