UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
AC, Acre,213937,0.972,6272,0.028,220209,-8.77,-70.55
AL, Alagoas,803302,0.947,45402,0.053,848704,-9.62,-36.82
AP, Amapá,211548,0.983,3580,0.017,215128,1.41,-51.77
AM, Amazonas,1033452,0.986,14387,0.014,1047839,-3.47,-65.1
BA, Bahia,3581929,0.974,95191,0.026,3677120,-13.29,-41.71
CE, Ceará,2283014,0.973,62575,0.027,2345589,-5.2,-39.53
DF, Distrito Federal,701919,1.0,0,0.0,701919,-15.83,-47.86
ES, Espírito Santo,938115,0.99,9712,0.01,947827,-19.19,-40.34
GO, Goiás,1601267,0.992,12309,0.008,1613576,-15.98,-49.86
MA, Maranhão,1730944,0.962,67505,0.038,1798449,-5.42,-45.44
MT, Mato Grosso,829985,0.991,7146,0.009,837131,-12.64,-55.42
MS, Mato Grosso do Sul,632099,0.991,5742,0.009,637841,-20.51,-54.54
MG, Minas Gerais,4929602,0.991,45319,0.009,4974921,-18.1,-44.38
PA, Pará,2096987,0.978,46411,0.022,2143398,-3.79,-52.48
PB, Paraiba,954546,0.965,34210,0.035,988756,-7.28,-36.72
PR, Paraná,2636303,0.992,21158,0.008,2657461,-24.89,-51.55
PE, Pernambuco,2202944,0.963,84511,0.037,2287455,-8.38,-37.86
PI, Piauí,764188,0.964,28494,0.036,792682,-6.6,-42.28
RJ, Rio de Janeiro,3646811,0.99,36322,0.01,3683133,-22.25,-42.66
RN, Rio Grande do Norte,829560,0.965,30033,0.035,859593,-5.81,-36.59
RS, Rio Grande do Sul,2417146,0.991,23165,0.009,2440311,-30.17,-53.5
RO, Rondônia,451853,0.989,5114,0.011,456967,-10.83,-63.34
RR, Roraima,130679,1.0,0,0.0,130679,1.99,-61.33
SC, Santa Catarina,1523901,0.993,10775,0.007,1534676,-27.45,-50.95
SP, São Paulo,10150643,0.995,53468,0.005,10204111,-22.19,-48.79
SE, Sergipe,551037,0.956,25303,0.044,576340,-10.57,-37.45
TO, Tocantins,376578,0.983,6662,0.017,383240,-9.46,-48.26
