UF,Nome,Alfabetizacao,Alfabetizacao(%),EnsinoFundamental ,EnsinoFundamental(%),EJAEnsinoFundamental,EJAEnsinoFundamental(%),EnsinoMedio,EnsinoMedio(%),EJAEnsinoMedio,EJAEnsinoMedio(%),EnsinoSuperior,EnsinoSuperior(%),Especializacao,Especializacao(%),Mestrado,Mestrado(%),Doutorado,Doutorado(%),Total,latitude,longitude
RO,Rondônia,225856.0,0.6001981225684948,31206.7,0.0829298435797953,5478.85,0.014559699471496873,55904.2,0.14856189733145742,7261.35,0.01929658117257341,48223.3,0.12815038840702614,2372.01,0.006303467469155991,0.0,0.0,0.0,0.0,376302.41000000003,-10.83,-63.34
AC,Acre,172181.0,0.3719670350720448,13540.7,0.02925232186942832,4367.3,0.009434790321058314,44311.8,0.0957279192518654,6561.0,0.01417389675462267,27000.4,0.058329657359169944,1512.97,0.0032685079367232835,193418.0,0.4178458714350873,0.0,0.0,462893.17,-8.77,-70.55
AM,Amazonas,578714.0,0.5717171426586577,87192.2,0.08613801540332912,16625.6,0.016424590604315392,213811.0,0.21122594924088625,11829.6,0.01168657594389432,96549.4,0.09538208353937834,6290.74,0.006214682724123702,1225.78,0.0012109598854151262,0.0,0.0,1012238.3200000001,-3.47,-65.1
RR,Roraima,123186.0,0.14042117255269804,6937.28,0.00790788719437583,1905.28,0.0021718511165327594,22749.2,0.02593208106956828,2894.91,0.0032999420115478306,19376.2,0.02208715863503635,700212.0,0.7981799074202409,0.0,0.0,0.0,0.0,877260.87,1.99,-61.33
PA,Pará,1729.46,0.0019458215399044405,191965.0,0.21598049790556353,45046.9,0.050682425916714666,426461.0,0.4798127737728468,28315.6,0.031857981332507355,183729.0,0.20671414528529305,8715.19,0.00980549097773859,2844.95,0.0032008632694315786,0.0,0.0,888807.1,-3.79,-52.48
AP,Amapá,0.0,0.0,11541.6,0.01563044861118272,7268.14,0.009843027723095721,46870.5,0.06347533631649335,3606.57,0.00488427142230135,30473.1,0.04126882092373953,638645.0,0.8648980950031875,0.0,0.0,0.0,0.0,738404.9099999999,1.41,-51.77
TO,Tocantins,1093.44,0.0013586145173597225,24049.8,0.029882213399544423,1407.46,0.0017487887662817486,77226.2,0.09595463531654723,2259.77,0.0028077958807927092,46325.0,0.057559461439758146,1480.23,0.0018392065106740032,650978.0,0.8088492841690421,0.0,0.0,804819.8999999999,-9.46,-48.26
MA,Maranhão,456105.0,0.27344369870052954,130283.0,0.07810715821532563,13528.8,0.008110775174531576,339498.0,0.20353556488403413,8063.37,0.0048341450253579525,132529.0,0.07945367830890361,6405.16,0.0038400163145957266,460466.0,0.27605820187421326,121125.0,0.07261676150250851,1668003.33,-5.42,-45.44
PI,Piauí,1288.16,0.0040832755416625914,57288.1,0.1815947534144211,13436.8,0.04259265681143018,142172.0,0.4506640869994829,6929.57,0.021965705886876505,89971.8,0.28519721958402555,3326.07,0.010543147032090498,1059.72,0.003359154730010776,0.0,0.0,315472.22,-6.6,-42.28
CE,Ceará,1863.21,0.002340325545926802,121366.0,0.15244441056400096,13403.3,0.01683550721052415,395089.0,0.4962601529696997,30850.7,0.03875069440359594,212432.0,0.2668298454668676,15716.8,0.019741429329073138,1905.02,0.0023928419080519515,3506.8,0.0044047926022596,796132.8300000001,-5.2,-39.53
RN,Rio Grande do Norte,0.0,0.0,60424.4,0.18787124176832856,14372.3,0.04468628315824316,144719.0,0.4499595897927119,6283.18,0.019535631778783515,85845.1,0.26690915485675226,5484.02,0.017050887510382383,3329.84,0.010353121846304658,1168.82,0.003634089288493684,321626.66,-5.81,-36.59
PB,Paraíba,187123.0,0.3357112860334862,72893.5,0.13077585667439023,13806.7,0.024770151252804486,152685.0,0.27392719071425126,10352.5,0.018573083419257203,110521.0,0.19828213016949775,5743.68,0.01030454941062731,3257.89,0.005844874449723627,1009.37,0.0018108778759619072,557392.64,-7.28,-36.72
PE,Pernambuco,1348.95,0.0017082307876716179,148350.0,0.18786169787692983,18483.6,0.023406541819197976,369217.0,0.4675546511966727,21591.1,0.027341696697206465,212116.0,0.2686112026077711,12026.4,0.015229524255794465,4532.39,0.005739551606608817,2011.23,0.002546903152147068,789676.6699999999,-8.38,-37.86
AL,Alagoas,1568.95,0.005332059398383835,57449.0,0.19523979755744472,8491.63,0.02885871158997936,148894.0,0.5060146289320645,5363.6,0.018228135880156496,67529.2,0.22949724690101125,3427.95,0.011649850546346196,1524.08,0.00517956919461349,0.0,0.0,294248.41000000003,-9.62,-36.82
SE,Sergipe,0.0,0.0,54197.8,0.24873931777306313,6030.3,0.027675896585597617,90270.9,0.41429582161564493,5505.43,0.02526702010501081,55694.0,0.255606086668702,4593.26,0.02108064088863939,1598.27,0.0073352163633423045,0.0,0.0,217889.95999999996,-10.57,-37.45
BA,Bahia,1522.42,0.0008851254728816938,329937.0,0.19182330969520067,36013.9,0.020938256373283348,653166.0,0.37974663011537185,19556.8,0.011370201290085986,311080.0,0.18085996775136776,17750.7,0.010320146038203047,2714.91,0.0015784317058244368,348263.0,0.20247793155778124,1720004.73,-13.29,-41.71
MG,Minas Gerais,1935.94,0.0010756070517650383,195592.0,0.10867079272540851,31089.9,0.017273528972318285,827485.0,0.4597501478505494,70764.2,0.03931654520930995,614193.0,0.3412452462084177,38547.5,0.021416966862564342,13278.6,0.007377581845288199,6971.9,0.003873583274378684,1799858.0399999998,-18.1,-44.38
ES,Espírito Santo,265919.0,0.2037507347413059,39979.1,0.030632527195484874,5906.99,0.004526015638632615,142430.0,0.10913179257294213,7235.44,0.005543891997851354,110140.0,0.08439075780372005,7311.36,0.005602062928779795,1076.33,0.0008246986049289813,725121.0,0.5555975185163545,1305119.2199999997,-19.19,-40.34
RJ,Rio de Janeiro,2190.59,0.0010827026859595947,244142.0,0.12066758232053801,17166.0,0.008484323541686213,646909.0,0.31973583001448713,17354.0,0.00857724284879544,511848.0,0.25298171013427734,12643.9,0.006249268229565787,10483.4,0.005181437575260004,560524.0,0.2770399026494304,2023260.8900000001,-22.25,-42.66
SP,São Paulo,10349.3,0.0029216703903263055,247510.0,0.06987357969231386,28268.7,0.007980426092877512,1782221.0,0.5031318373916824,83194.5,0.023486313788179086,1283740.0,0.36240761663856413,72100.9,0.02035452297700114,29644.9,0.008368935730357059,5225.17,0.0014750972986985885,3542254.4699999997,-22.19,-48.79
PR,Paraná,5958.03,0.006193573714164747,89113.9,0.09263691330971913,17545.9,0.018239556536533592,433485.0,0.4506223200428171,18753.2,0.019494585723212932,358058.0,0.37221340223973376,30589.3,0.03179861202691153,6524.19,0.006782116184412717,1942.14,0.002018920222494335,961969.6600000001,-24.89,-51.55
SC,Santa Catarina,3052.14,0.005260470903269152,61244.7,0.10555739983403391,8136.16,0.014022958627173834,220484.0,0.38001194789111764,24811.0,0.0427626332936926,241636.0,0.41646816567468886,17362.6,0.029925053275767485,2195.28,0.0037836424818418245,1280.93,0.0022077280184148026,580202.8099999999,-27.45,-50.95
RS,Rio Grande do Sul,269332.0,0.21747333294742388,147704.0,0.11926425812627649,26415.3,0.021329152613896923,350844.0,0.2832905634109797,36362.9,0.02936138690773425,375832.0,0.30346723622999205,18211.6,0.014705038206768243,10962.4,0.008851639111219015,2795.69,0.0022573924457093236,1238459.8900000001,-30.17,-53.5
MS,Mato Grosso do Sul,856129.0,0.7980909334571504,37121.0,0.03460452051135154,5495.45,0.005122906501551866,75536.4,0.07041569201135892,10398.4,0.009693479326667866,83480.5,0.07782125143578789,3300.25,0.0030765218829661893,1260.12,0.0011746948731651706,0.0,0.0,1072721.12,-20.51,-54.54
MT,Mato Grosso,1206.35,0.000839979144202496,23906.7,0.016646188425171644,3354.44,0.0023356900074427995,149684.0,0.10422467627206566,6709.56,0.004671853497554855,103722.0,0.07222142561857778,3543.56,0.0024673738933395756,790394.0,0.5503497954182349,353646.0,0.24624301772341023,1436166.61,-12.64,-55.42
GO,Goiás,1702.25,0.0014047078578586,84417.0,0.06966146173408691,4952.93,0.004087190301320955,277012.0,0.22859211815016978,15990.3,0.013195300372751576,214411.0,0.1769333626149627,13221.3,0.010910303422591222,1157.03,0.0009547887400664626,598954.0,0.49426076680619174,1211817.81,-15.98,-49.86
DF,Distrito Federal,557544.0,0.6462638736252893,28070.5,0.03253725278112343,7882.37,0.00913666180525263,121702.0,0.14106798019159916,6390.78,0.007407720714933756,126983.0,0.14718932580130017,10316.2,0.011957777992576748,2277.07,0.002639411559833731,1552.89,0.0017999955280910127,862718.81,-15.83,-47.86
