UF,Nome,Alfabetizacao,Alfabetizacao(%),EnsinoFundamental ,EnsinoFundamental(%),EJAEnsinoFundamental,EJAEnsinoFundamental(%),EnsinoMedio,EnsinoMedio(%),EJAEnsinoMedio,EJAEnsinoMedio(%),EnsinoSuperior,EnsinoSuperior(%),Especializacao,Especializacao(%),Mestrado,Mestrado(%),Doutorado,Doutorado(%),Total,latitude,longitude
RO,Rondônia,0.0,0.0,29107.4,0.17616021638352833,6344.28,0.03839606895832987,68371.1,0.4137871390223742,5664.15,0.03427987005465146,52132.6,0.3155104920616726,3613.01,0.021866213519443567,0.0,0.0,0.0,0.0,165232.54,-10.83,-63.34
AC,Acre,312117.0,0.40044846759117797,13845.8,0.017764265940573346,3365.53,0.004318000400914199,36924.2,0.047374027390466304,4853.7,0.006227333747111821,29567.3,0.0379350691433297,1786.11,0.002291592615747552,376959.0,0.4836412431706791,0.0,0.0,779418.64,-8.77,-70.55
AM,Amazonas,0.0,0.0,75613.4,0.17158832906896923,19461.7,0.04416413735980076,202807.0,0.46022681500224094,12741.5,0.028914090555804548,121561.0,0.2758565131306484,7316.15,0.01660242699994894,1166.75,0.0026476878825872113,0.0,0.0,440667.5,-3.47,-65.1
RR,Roraima,0.0,0.0,6413.9,0.0030336293365819814,855316.0,0.4045450832797446,26842.3,0.012695799551183292,2820.71,0.0013341319019613902,19053.3,0.009011779079607955,928076.0,0.43895891426084893,275744.0,0.13042066259007185,0.0,0.0,2114266.21,1.99,-61.33
PA,Pará,0.0,0.0,170481.0,0.14067770973608973,41298.8,0.03407899178705441,415741.0,0.3430616416104532,40879.0,0.03373258073510604,202191.0,0.1668442043937431,7397.37,0.006104170374824514,3458.93,0.0028542438778365498,330408.0,0.27264645748489236,1211855.1,-3.79,-52.48
AP,Amapá,484815.0,0.32823219770492634,11226.1,0.0076003578161881824,2858.76,0.001935453889650558,48946.7,0.0331381721097815,1458.03,0.0009871237301232712,37434.5,0.025344117250879337,697242.0,0.47205072861231245,205.79,0.0001393251115697674,192862.0,0.13057252377456866,1477048.88,1.41,-51.77
TO,Tocantins,0.0,0.0,22145.8,0.025181763235571735,731583.0,0.8318755652615519,71022.6,0.08075907384581804,1828.24,0.002078873051224235,50757.4,0.05771572168326314,2100.98,0.0023890029225709392,0.0,0.0,0.0,0.0,879438.02,-9.46,-48.26
MA,Maranhão,704591.0,0.5265463890118065,115661.0,0.08643437384169617,9665.94,0.007223432890009638,330201.0,0.24676180109891768,6856.75,0.005124103136226128,162451.0,0.12140090838707417,6855.59,0.005123236259114082,1854.33,0.0013857553751556052,0.0,0.0,1338136.61,-5.42,-45.44
PI,Piauí,549229.0,0.44225865254060404,51515.6,0.041482186557557484,11959.5,0.009630213180766773,142929.0,0.1150914954399276,10031.7,0.008077880309837204,94222.3,0.07587113469477495,9003.41,0.007249864764734927,1275.31,0.0010269248021709664,371707.0,0.2993116477096262,1241872.8199999998,-6.6,-42.28
CE,Ceará,0.0,0.0,99022.0,0.1266383829605218,9767.47,0.012491533259431316,381624.0,0.4880556468151135,27094.5,0.03465092269519761,243778.0,0.31176558463119386,15086.6,0.01929412280475256,4368.04,0.005586248735703961,1186.62,0.001517558098085419,781927.23,-5.2,-39.53
