UF,Nome,Alfabetizacao,Alfabetizacao(%),EnsinoFundamental ,EnsinoFundamental(%),EJAEnsinoFundamental,EJAEnsinoFundamental(%),EnsinoMedio,EnsinoMedio(%),EJAEnsinoMedio,EJAEnsinoMedio(%),EnsinoSuperior,EnsinoSuperior(%),Especializacao,Especializacao(%),Mestrado,Mestrado(%),Doutorado,Doutorado(%),Total,latitude,longitude
RO,Rondônia,182681.0,0.2729714783573489,22369.3,0.0334253747834698,2354.72,0.003518545439961554,57778.1,0.08633505057274014,7334.42,0.010959472907930805,62199.1,0.09294113936039644,1060.45,0.0015845797002646729,333454.0,0.4982643588778879,0.0,0.0,669231.0899999999,-10.83,-63.34
AC,Acre,0.0,0.0,14960.0,0.022427293368396273,2100.73,0.003149310695039512,37655.0,0.056450516830679254,4724.85,0.0070832618363413855,28702.1,0.04302877118910739,2268.7,0.0034011230257273138,576633.0,0.8644597230547091,0.0,0.0,667044.3799999999,-8.77,-70.55
AM,Amazonas,592496.0,0.49797038507683705,67136.3,0.05642551032181493,11854.4,0.009963172971386908,195965.0,0.16470113977407844,8838.34,0.007428289090964347,114876.0,0.09654891502404528,6024.52,0.00506338024949216,2569.2,0.0021593150221088575,190062.0,0.15973989246927203,1189821.76,-3.47,-65.1
RR,Roraima,0.0,0.0,6876.02,0.039538893657131174,1103.83,0.006347308033651894,23885.1,0.1373455034874744,2034.06,0.01169637116125669,22834.3,0.13130313167137825,1053.91,0.0060602551205766,116118.0,0.6677085368685312,0.0,0.0,173905.21999999997,1.99,-61.33
PA,Pará,1139.73,0.0013455782413317296,173044.0,0.20429772068209825,20685.5,0.024421537303631117,414300.0,0.4891273068040111,22696.2,0.026795392663975858,205294.0,0.24237243862665378,7495.11,0.008848812378710625,2364.21,0.002791213299587524,0.0,0.0,847018.75,-3.79,-52.48
AP,Amapá,0.0,0.0,15742.7,0.02553524883627735,2578.21,0.0041819531530283005,43939.0,0.071270703158746,2912.48,0.004724151608725381,40044.6,0.06495384054509022,1314.59,0.002132314200720451,509977.0,0.8272017884974123,0.0,0.0,616508.58,1.41,-51.77
TO,Tocantins,234319.0,0.2317736020412465,19464.5,0.01925305791221302,1085.03,0.0010732433623513828,71567.1,0.07078966944484269,1620.58,0.0016029757040445002,45919.8,0.04542097504262835,2661.25,0.002632340947308017,634345.0,0.6274541355453656,0.0,0.0,1010982.26,-9.46,-48.26
MA,Maranhão,409717.0,0.38529835097361376,120885.0,0.11368039685306028,9643.55,0.009068805816042762,346224.0,0.3255894587422256,4693.65,0.004413914006612618,159873.0,0.15034475812622994,10117.8,0.00951479107647676,2221.95,0.002089524405738158,0.0,0.0,1063375.9500000002,-5.42,-45.44
PI,Piauí,242985.0,0.4416321302955552,56634.7,0.10293517381587208,8983.27,0.016327348054901134,126394.0,0.2297246804394362,10709.1,0.019464093036805276,93280.6,0.1695401366061591,10137.6,0.018425375574970555,1073.47,0.0019510621763004698,0.0,0.0,550197.74,-6.6,-42.28
CE,Ceará,0.0,0.0,101349.0,0.13289253399886117,17461.4,0.022896029493805706,368006.0,0.48254299368306447,18989.4,0.024899599257200113,238860.0,0.31320201157355254,12888.8,0.016900268302642567,2543.08,0.003334579969825295,2541.1,0.0033319837210481216,762638.78,-5.2,-39.53
RN,Rio Grande do Norte,0.0,0.0,57683.1,0.09698141395942837,14680.8,0.02468252819379638,127851.0,0.2149532663141696,7707.12,0.01295782291789085,117114.0,0.19690136824207602,5233.3,0.008798640046631969,1694.78,0.002849398883731284,262821.0,0.4418755614422756,594785.1,-5.81,-36.59
PB,Paraíba,204639.0,0.1685852629447427,56716.5,0.046724065626813555,17430.9,0.014359886726691959,161301.0,0.13288264455089177,11374.4,0.009370433860792329,116082.0,0.0956304247633717,10174.4,0.00838185242942445,3630.35,0.0029907471661386473,632512.0,0.5210746819311328,1213860.55,-7.28,-36.72
PE,Pernambuco,203663.0,0.10470586821784811,115581.0,0.05942173568339414,26418.6,0.013582155080206233,326473.0,0.16784412934448342,37150.4,0.019099516783315302,233875.0,0.12023826089888309,11427.9,0.005875236009519384,4602.43,0.002366170728418371,985905.0,0.5068669272539319,1945096.33,-8.38,-37.86
AL,Alagoas,638429.0,0.690930000076514,57299.0,0.06201096453072178,9751.66,0.010553584571731764,135193.0,0.14631055215277525,8997.41,0.009737309069588675,68202.2,0.0738107856178501,4258.06,0.004608220171899775,1883.68,0.0020385838089186548,0.0,0.0,924014.01,-9.62,-36.82
SE,Sergipe,223147.0,0.38638422889796026,57955.7,0.10035164467701344,11908.0,0.020618979406924184,75261.0,0.13031617476860272,5815.88,0.01007033170583996,58331.4,0.10100217797926246,4025.18,0.006969692939970028,141082.0,0.24428676962442708,0.0,0.0,577526.1599999999,-10.57,-37.45
