UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),NaoEconomicamenteAtivo,NaoEconomicamenteAtivo(%),Total,latitude,longitude
AC,Acre,125619,0.567,15844,0.072,79961,0.361,221424,-8.77,-70.55
AL,Alagoas,418905,0.473,87404,0.099,379109,0.428,885418,-9.62,-36.82
AP,Amapá,79218,0.383,17658,0.085,109899,0.531,206775,1.41,-51.77
AM,Amazonas,523521,0.512,74250,0.073,424065,0.415,1021836,-3.47,-65.1
BA,Bahia,2005023,0.528,386392,0.102,1408944,0.371,3800359,-13.29,-41.71
CE,Ceará,1283325,0.548,153270,0.065,906360,0.387,2342955,-5.2,-39.53
DF,Distrito Federal,423002,0.576,78029,0.106,233877,0.318,734908,-15.83,-47.86
ES,Espírito Santo,582379,0.637,60105,0.066,271510,0.297,913994,-19.19,-40.34
GO,Goiás,1010998,0.626,98903,0.061,504452,0.312,1614353,-15.98,-49.86
MA,Maranhão,984755,0.553,100784,0.057,694311,0.39,1779850,-5.42,-45.44
MT,Mato Grosso,509142,0.631,51398,0.064,246769,0.306,807309,-12.64,-55.42
MS,Mato Grosso do Sul,432127,0.635,31460,0.046,216898,0.319,680485,-20.51,-54.54
MG,Minas Gerais,3071075,0.616,388133,0.078,1527122,0.306,4986330,-18.1,-44.38
PA,Pará,1175058,0.542,140604,0.065,850932,0.393,2166594,-3.79,-52.48
PB,Paraiba,527741,0.525,97301,0.097,379361,0.378,1004403,-7.28,-36.72
PR,Paraná,1699107,0.649,167486,0.064,752455,0.287,2619048,-24.89,-51.55
PE,Pernambuco,1133976,0.5,214933,0.095,917231,0.405,2266140,-8.38,-37.86
PI,Piauí,498818,0.577,58482,0.068,307064,0.355,864364,-6.6,-42.28
RJ,Rio de Janeiro,1841768,0.508,275880,0.076,1509383,0.416,3627031,-22.25,-42.66
RN,Rio Grande do Norte,489079,0.529,67840,0.073,367585,0.398,924504,-5.81,-36.59
RS,Rio Grande do Sul,1662483,0.649,175612,0.069,724578,0.283,2562673,-30.17,-53.5
RO,Rondônia,298907,0.637,27330,0.058,143313,0.305,469550,-10.83,-63.34
RR,Roraima,70427,0.509,11078,0.08,56928,0.411,138433,1.99,-61.33
SC,Santa Catarina,1130182,0.707,66611,0.042,401008,0.251,1597801,-27.45,-50.95
SP,São Paulo,6572401,0.636,886510,0.086,2873181,0.278,10332092,-22.19,-48.79
SE,Sergipe,326548,0.546,50923,0.085,220212,0.368,597683,-10.57,-37.45
TO,Tocantins,213355,0.574,28127,0.076,129943,0.35,371425,-9.46,-48.26
